time,T_gasIn.T,T_gasOut.T,T_waterOut.T,T_waterIn.T,T_gasIn.inlet.m_flow,T_waterIn.inlet.m_flow
460,321.974,319.747,305.978,295.307,0.606862,0.083115
460,321.974,319.747,305.978,295.307,0.606862,0.083115
461,321.975,319.749,305.978,295.307,0.606862,0.083115
461,321.975,319.749,305.978,295.307,0.606862,0.083115
465,321.98,319.753,305.981,295.307,0.606862,0.083115
465,321.98,319.753,305.981,295.307,0.606862,0.083115
466,321.982,319.754,305.981,295.307,0.606862,0.083115
466,321.982,319.754,305.981,295.307,0.606862,0.083115
470,321.987,319.759,305.983,295.307,0.606862,0.083115
470,321.987,319.759,305.983,295.307,0.606862,0.083115
471,321.988,319.76,305.984,295.307,0.606862,0.083115
471,321.988,319.76,305.984,295.307,0.606862,0.083115
475,321.993,319.765,305.986,295.307,0.606862,0.083115
475,321.993,319.765,305.986,295.307,0.606862,0.083115
476,321.995,319.766,305.987,295.307,0.606862,0.083115
476,321.995,319.766,305.987,295.307,0.606862,0.083115
480,322,319.771,305.989,295.307,0.606862,0.083115
480,322,319.771,305.989,295.307,0.606862,0.083115
481,322.001,319.772,305.99,295.307,0.606862,0.083115
481,322.001,319.772,305.99,295.307,0.606862,0.083115
485,322.006,319.777,305.992,295.307,0.606862,0.083115
485,322.006,319.777,305.992,295.307,0.606862,0.083115
486,322.008,319.778,305.993,295.307,0.606862,0.083115
486,322.008,319.778,305.993,295.307,0.606862,0.083115
490,322.013,319.783,305.995,295.307,0.606862,0.083115
490,322.013,319.783,305.995,295.307,0.606862,0.083115
491,322.014,319.784,305.996,295.307,0.606862,0.083115
491,322.014,319.784,305.996,295.307,0.606862,0.083115
495,322.02,319.789,305.998,295.307,0.606862,0.083115
495,322.02,319.789,305.998,295.307,0.606862,0.083115
496,322.021,319.79,305.998,295.307,0.606862,0.083115
496,322.021,319.79,305.998,295.307,0.606862,0.083115
500,322.026,319.794,306.001,295.307,0.606862,0.083115
500,322.026,319.794,306.001,295.307,0.606862,0.083115
501,322.027,319.796,306.001,295.307,0.606862,0.083115
501,322.027,319.796,306.001,295.307,0.606862,0.083115
505,322.033,319.8,306.004,295.307,0.606862,0.083115
505,322.033,319.8,306.004,295.307,0.606862,0.083115
506,322.034,319.801,306.004,295.307,0.606862,0.083115
506,322.034,319.801,306.004,295.307,0.606862,0.083115
510,322.039,319.806,306.006,295.307,0.606862,0.083115
510,322.039,319.806,306.006,295.307,0.606862,0.083115
511,322.041,319.807,306.007,295.307,0.606862,0.083115
511,322.041,319.807,306.007,295.307,0.606862,0.083115
515,322.046,319.812,306.009,295.307,0.606862,0.083115
515,322.046,319.812,306.009,295.307,0.606862,0.083115
516,322.047,319.813,306.01,295.307,0.606862,0.083115
516,322.047,319.813,306.01,295.307,0.606862,0.083115
520,322.052,319.818,306.012,295.307,0.606862,0.083115
520,322.052,319.818,306.012,295.307,0.606862,0.083115
521,322.054,319.819,306.013,295.307,0.606862,0.083115
521,322.054,319.819,306.013,295.307,0.606862,0.083115
525,322.059,319.824,306.015,295.307,0.606862,0.083115
525,322.059,319.824,306.015,295.307,0.606862,0.083115
526,322.06,319.825,306.016,295.307,0.606862,0.083115
526,322.06,319.825,306.016,295.307,0.606862,0.083115
530,322.065,319.83,306.018,295.307,0.606862,0.083115
530,322.065,319.83,306.018,295.307,0.606862,0.083115
531,322.067,319.831,306.019,295.307,0.606862,0.083115
531,322.067,319.831,306.019,295.307,0.606862,0.083115
535,322.072,319.835,306.021,295.307,0.606862,0.083115
535,322.072,319.835,306.021,295.307,0.606862,0.083115
536,322.073,319.837,306.021,295.307,0.606862,0.083115
536,322.073,319.837,306.021,295.307,0.606862,0.083115
540,322.079,319.841,306.024,295.307,0.606862,0.083115
540,322.079,319.841,306.024,295.307,0.606862,0.083115
541,322.08,319.842,306.024,295.307,0.606862,0.083115
541,322.08,319.842,306.024,295.307,0.606862,0.083115
545,322.085,319.847,306.027,295.307,0.606862,0.083115
545,322.085,319.847,306.027,295.307,0.606862,0.083115
546,322.086,319.848,306.027,295.307,0.606862,0.083115
546,322.086,319.848,306.027,295.307,0.606862,0.083115
550,322.092,319.853,306.029,295.307,0.606862,0.083115
550,322.092,319.853,306.029,295.307,0.606862,0.083115
551,322.093,319.854,306.03,295.307,0.606862,0.083115
551,322.093,319.854,306.03,295.307,0.606862,0.083115
555,322.098,319.859,306.032,295.307,0.606862,0.083115
555,322.098,319.859,306.032,295.307,0.606862,0.083115
556,322.1,319.86,306.033,295.307,0.606862,0.083115
556,322.1,319.86,306.033,295.307,0.606862,0.083115
560,322.105,319.865,306.035,295.307,0.606862,0.083115
560,322.105,319.865,306.035,295.307,0.606862,0.083115
561,322.106,319.866,306.036,295.307,0.606862,0.083115
561,322.106,319.866,306.036,295.307,0.606862,0.083115
565,322.111,319.871,306.038,295.307,0.606862,0.083115
565,322.111,319.871,306.038,295.307,0.606862,0.083115
566,322.113,319.872,306.039,295.307,0.606862,0.083115
566,322.113,319.872,306.039,295.307,0.606862,0.083115
570,322.118,319.877,306.041,295.307,0.606862,0.083115
570,322.118,319.877,306.041,295.307,0.606862,0.083115
571,322.119,319.878,306.042,295.307,0.606862,0.083115
571,322.119,319.878,306.042,295.307,0.606862,0.083115
575,322.124,319.882,306.044,295.307,0.606862,0.083115
575,322.124,319.882,306.044,295.307,0.606862,0.083115
576,322.126,319.884,306.044,295.307,0.606862,0.083115
576,322.126,319.884,306.044,295.307,0.606862,0.083115
580,322.131,319.888,306.047,295.307,0.606862,0.083115
580,322.131,319.888,306.047,295.307,0.606862,0.083115
581,322.132,319.889,306.047,295.307,0.606862,0.083115
581,322.132,319.889,306.047,295.307,0.606862,0.083115
585,322.138,319.894,306.05,295.307,0.606862,0.083115
585,322.138,319.894,306.05,295.307,0.606862,0.083115
586,322.139,319.895,306.05,295.307,0.606862,0.083115
586,322.139,319.895,306.05,295.307,0.606862,0.083115
590,322.144,319.9,306.052,295.307,0.606862,0.083115
590,322.144,319.9,306.052,295.307,0.606862,0.083115
591,322.145,319.901,306.053,295.307,0.606862,0.083115
591,322.145,319.901,306.053,295.307,0.606862,0.083115
595,322.151,319.906,306.055,295.307,0.606862,0.083115
595,322.151,319.906,306.055,295.307,0.606862,0.083115
596,322.152,319.907,306.056,295.307,0.606862,0.083115
596,322.152,319.907,306.056,295.307,0.606862,0.083115
600,322.157,319.912,306.058,295.307,0.606862,0.083115
600,322.157,319.912,306.058,295.307,0.606862,0.083115
601,322.159,319.913,306.059,295.307,0.606862,0.083115
601,322.159,319.913,306.059,295.307,0.606862,0.083115
