time_mock,HotOil_Evap_in_T,HotOil_Mdot
200,48.4828,0.606862
200,48.4828,0.606862
200.2,48.4831,0.606862
200.2,48.4831,0.606862
201,48.4841,0.606862
201,48.4841,0.606862
201.2,48.4844,0.606862
201.2,48.4844,0.606862
202,48.4854,0.606862
202,48.4854,0.606862
202.2,48.4857,0.606862
202.2,48.4857,0.606862
203,48.4867,0.606862
203,48.4867,0.606862
203.2,48.487,0.606862
203.2,48.487,0.606862
204,48.488,0.606862
204,48.488,0.606862
204.2,48.4883,0.606862
204.2,48.4883,0.606862
205,48.4894,0.606862
205,48.4894,0.606862
205.2,48.4896,0.606862
205.2,48.4896,0.606862
206,48.4907,0.606862
206,48.4907,0.606862
206.2,48.4909,0.606862
206.2,48.4909,0.606862
207,48.492,0.606862
207,48.492,0.606862
207.2,48.4922,0.606862
207.2,48.4922,0.606862
208,48.4933,0.606862
208,48.4933,0.606862
208.2,48.4935,0.606862
208.2,48.4935,0.606862
209,48.4946,0.606862
209,48.4946,0.606862
209.2,48.4949,0.606862
209.2,48.4949,0.606862
210,48.4959,0.606862
210,48.4959,0.606862
210.2,48.4962,0.606862
210.2,48.4962,0.606862
211,48.4972,0.606862
211,48.4972,0.606862
211.2,48.4975,0.606862
211.2,48.4975,0.606862
212,48.4985,0.606862
212,48.4985,0.606862
212.2,48.4988,0.606862
212.2,48.4988,0.606862
213,48.4998,0.606862
213,48.4998,0.606862
213.2,48.5001,0.606862
213.2,48.5001,0.606862
214,48.5012,0.606862
214,48.5012,0.606862
214.2,48.5014,0.606862
214.2,48.5014,0.606862
215,48.5025,0.606862
215,48.5025,0.606862
215.2,48.5027,0.606862
215.2,48.5027,0.606862
216,48.5038,0.606862
216,48.5038,0.606862
216.2,48.504,0.606862
216.2,48.504,0.606862
217,48.5051,0.606862
217,48.5051,0.606862
217.2,48.5053,0.606862
217.2,48.5053,0.606862
218,48.5064,0.606862
218,48.5064,0.606862
218.2,48.5067,0.606862
218.2,48.5067,0.606862
219,48.5077,0.606862
219,48.5077,0.606862
219.2,48.508,0.606862
219.2,48.508,0.606862
220,48.509,0.606862
220,48.509,0.606862
220,48.509,0.606862
220,48.509,0.606862
220.2,48.5093,0.606862
220.2,48.5093,0.606862
221,48.5103,0.606862
221,48.5103,0.606862
221.2,48.5106,0.606862
221.2,48.5106,0.606862
222,48.5116,0.606862
222,48.5116,0.606862
222.2,48.5119,0.606862
222.2,48.5119,0.606862
223,48.513,0.606862
223,48.513,0.606862
223.2,48.5132,0.606862
223.2,48.5132,0.606862
224,48.5143,0.606862
224,48.5143,0.606862
224.2,48.5145,0.606862
224.2,48.5145,0.606862
225,48.5156,0.606862
225,48.5156,0.606862
225.2,48.5158,0.606862
225.2,48.5158,0.606862
226,48.5169,0.606862
226,48.5169,0.606862
226.2,48.5171,0.606862
226.2,48.5171,0.606862
227,48.5182,0.606862
227,48.5182,0.606862
227.2,48.5185,0.606862
227.2,48.5185,0.606862
228,48.5195,0.606862
228,48.5195,0.606862
228.2,48.5198,0.606862
228.2,48.5198,0.606862
229,48.5208,0.606862
229,48.5208,0.606862
229.2,48.5211,0.606862
229.2,48.5211,0.606862
230,48.5221,0.606862
230,48.5221,0.606862
230.2,48.5224,0.606862
230.2,48.5224,0.606862
231,48.5234,0.606862
231,48.5234,0.606862
231.2,48.5237,0.606862
231.2,48.5237,0.606862
232,48.5248,0.606862
232,48.5248,0.606862
232.2,48.525,0.606862
232.2,48.525,0.606862
233,48.5261,0.606862
233,48.5261,0.606862
233.2,48.5263,0.606862
233.2,48.5263,0.606862
234,48.5274,0.606862
234,48.5274,0.606862
234.2,48.5276,0.606862
234.2,48.5276,0.606862
235,48.5287,0.606862
235,48.5287,0.606862
235.2,48.5289,0.606862
235.2,48.5289,0.606862
236,48.53,0.606862
236,48.53,0.606862
236.2,48.5303,0.606862
236.2,48.5303,0.606862
237,48.5313,0.606862
237,48.5313,0.606862
237.2,48.5316,0.606862
237.2,48.5316,0.606862
238,48.5326,0.606862
238,48.5326,0.606862
238.2,48.5329,0.606862
238.2,48.5329,0.606862
239,48.5339,0.606862
239,48.5339,0.606862
239.2,48.5342,0.606862
239.2,48.5342,0.606862
240,48.5352,0.606862
240,48.5352,0.606862
240.2,48.5355,0.606862
240.2,48.5355,0.606862
241,48.5366,0.606862
241,48.5366,0.606862
241.2,48.5368,0.606862
241.2,48.5368,0.606862
242,48.5379,0.606862
242,48.5379,0.606862
242.2,48.5381,0.606862
242.2,48.5381,0.606862
243,48.5392,0.606862
243,48.5392,0.606862
243.2,48.5394,0.606862
243.2,48.5394,0.606862
244,48.5405,0.606862
244,48.5405,0.606862
244.2,48.5407,0.606862
244.2,48.5407,0.606862
245,48.5418,0.606862
245,48.5418,0.606862
245.2,48.5421,0.606862
245.2,48.5421,0.606862
246,48.5431,0.606862
246,48.5431,0.606862
246.2,48.5434,0.606862
246.2,48.5434,0.606862
247,48.5444,0.606862
247,48.5444,0.606862
247.2,48.5447,0.606862
247.2,48.5447,0.606862
248,48.5457,0.606862
248,48.5457,0.606862
248.2,48.546,0.606862
248.2,48.546,0.606862
249,48.547,0.606862
249,48.547,0.606862
249.2,48.5473,0.606862
249.2,48.5473,0.606862
250,48.5484,0.606862
250,48.5484,0.606862
250.2,48.5486,0.606862
250.2,48.5486,0.606862
251,48.5497,0.606862
251,48.5497,0.606862
251.2,48.5499,0.606862
251.2,48.5499,0.606862
252,48.551,0.606862
252,48.551,0.606862
252.2,48.5512,0.606862
252.2,48.5512,0.606862
253,48.5523,0.606862
253,48.5523,0.606862
253.2,48.5525,0.606862
253.2,48.5525,0.606862
254,48.5536,0.606862
254,48.5536,0.606862
254.2,48.5539,0.606862
254.2,48.5539,0.606862
255,48.5549,0.606862
255,48.5549,0.606862
255.2,48.5552,0.606862
255.2,48.5552,0.606862
256,48.5562,0.606862
256,48.5562,0.606862
256.2,48.5565,0.606862
256.2,48.5565,0.606862
257,48.5575,0.606862
257,48.5575,0.606862
257.2,48.5578,0.606862
257.2,48.5578,0.606862
258,48.5588,0.606862
258,48.5588,0.606862
258.2,48.5591,0.606862
258.2,48.5591,0.606862
259,48.5602,0.606862
259,48.5602,0.606862
259.2,48.5604,0.606862
259.2,48.5604,0.606862
260,48.5615,0.606862
260,48.5615,0.606862
260.2,48.5617,0.606862
260.2,48.5617,0.606862
261,48.5628,0.606862
261,48.5628,0.606862
261.2,48.563,0.606862
261.2,48.563,0.606862
262,48.5641,0.606862
262,48.5641,0.606862
262.2,48.5643,0.606862
262.2,48.5643,0.606862
263,48.5654,0.606862
263,48.5654,0.606862
263.2,48.5657,0.606862
263.2,48.5657,0.606862
264,48.5667,0.606862
264,48.5667,0.606862
264.2,48.567,0.606862
264.2,48.567,0.606862
265,48.568,0.606862
265,48.568,0.606862
265.2,48.5683,0.606862
265.2,48.5683,0.606862
266,48.5693,0.606862
266,48.5693,0.606862
266.2,48.5696,0.606862
266.2,48.5696,0.606862
267,48.5706,0.606862
267,48.5706,0.606862
267.2,48.5709,0.606862
267.2,48.5709,0.606862
268,48.572,0.606862
268,48.572,0.606862
