time,T_waterIn.T,T_gasIn.T,T_gasOut.T,T_waterOut.T,T_gasIn.inlet.m_flow,T_gasOut.inlet.m_flow,T_waterIn.inlet.m_flow,T_waterOut.inlet.m_flow
221,295.307,321.66,315.445,316.553,0.606862,0.606862,0.083115,0.0831234
225,295.307,321.666,315.449,316.556,0.606862,0.606862,0.083115,0.0831234
225,295.307,321.666,315.449,316.556,0.606862,0.606862,0.083115,0.0831234
226,295.307,321.667,315.45,316.556,0.606862,0.606862,0.083115,0.0831234
226,295.307,321.667,315.45,316.556,0.606862,0.606862,0.083115,0.0831234
230,295.307,321.672,315.453,316.559,0.606862,0.606862,0.083115,0.0831234
230,295.307,321.672,315.453,316.559,0.606862,0.606862,0.083115,0.0831234
231,295.307,321.673,315.454,316.56,0.606862,0.606862,0.083115,0.0831234
231,295.307,321.673,315.454,316.56,0.606862,0.606862,0.083115,0.0831234
235,295.307,321.679,315.458,316.563,0.606862,0.606862,0.083115,0.0831234
235,295.307,321.679,315.458,316.563,0.606862,0.606862,0.083115,0.0831234
236,295.307,321.68,315.459,316.564,0.606862,0.606862,0.083115,0.0831234
236,295.307,321.68,315.459,316.564,0.606862,0.606862,0.083115,0.0831234
240,295.307,321.685,315.462,316.567,0.606862,0.606862,0.083115,0.0831234
240,295.307,321.685,315.462,316.567,0.606862,0.606862,0.083115,0.0831234
241,295.307,321.687,315.463,316.568,0.606862,0.606862,0.083115,0.0831234
241,295.307,321.687,315.463,316.568,0.606862,0.606862,0.083115,0.0831234
245,295.307,321.692,315.467,316.571,0.606862,0.606862,0.083115,0.0831234
245,295.307,321.692,315.467,316.571,0.606862,0.606862,0.083115,0.0831234
246,295.307,321.693,315.467,316.572,0.606862,0.606862,0.083115,0.0831234
246,295.307,321.693,315.467,316.572,0.606862,0.606862,0.083115,0.0831234
250,295.307,321.698,315.471,316.575,0.606862,0.606862,0.083115,0.0831234
250,295.307,321.698,315.471,316.575,0.606862,0.606862,0.083115,0.0831234
251,295.307,321.7,315.472,316.575,0.606862,0.606862,0.083115,0.0831234
251,295.307,321.7,315.472,316.575,0.606862,0.606862,0.083115,0.0831234
255,295.307,321.705,315.475,316.579,0.606862,0.606862,0.083115,0.0831234
255,295.307,321.705,315.475,316.579,0.606862,0.606862,0.083115,0.0831234
256,295.307,321.706,315.476,316.579,0.606862,0.606862,0.083115,0.0831234
256,295.307,321.706,315.476,316.579,0.606862,0.606862,0.083115,0.0831234
260,295.307,321.711,315.48,316.582,0.606862,0.606862,0.083115,0.0831234
260,295.307,321.711,315.48,316.582,0.606862,0.606862,0.083115,0.0831234
261,295.307,321.713,315.481,316.583,0.606862,0.606862,0.083115,0.0831234
261,295.307,321.713,315.481,316.583,0.606862,0.606862,0.083115,0.0831234
265,295.307,321.718,315.484,316.586,0.606862,0.606862,0.083115,0.0831234
265,295.307,321.718,315.484,316.586,0.606862,0.606862,0.083115,0.0831234
266,295.307,321.719,315.485,316.587,0.606862,0.606862,0.083115,0.0831234
266,295.307,321.719,315.485,316.587,0.606862,0.606862,0.083115,0.0831234
270,295.307,321.725,315.489,316.59,0.606862,0.606862,0.083115,0.0831234
270,295.307,321.725,315.489,316.59,0.606862,0.606862,0.083115,0.0831234
