time,T_gasOut.T,T_waterOut.T,T_gasIn.T,T_waterIn.T,T_waterIn.inlet.m_flow,T_waterOut.inlet.m_flow,T_gasOut.inlet.m_flow,T_gasIn.inlet.m_flow
221,369.444,374.22,376.373,302.06,0.08543,0.0837765,-5.00E-14,0
225,369.444,373.902,376.373,302.06,0.08543,0.0838507,-5.94E-14,0
225,369.444,373.902,376.373,302.06,0.08543,0.0838507,-5.94E-14,0
226,369.444,373.816,376.373,302.06,0.08543,0.083852,-6.18E-14,0
226,369.444,373.816,376.373,302.06,0.08543,0.083852,-6.18E-14,0
230,369.444,373.452,376.373,302.06,0.08543,0.0838479,-7.14E-14,0
230,369.444,373.452,376.373,302.06,0.08543,0.0838479,-7.14E-14,0
231,369.444,373.356,376.373,302.06,0.08543,0.0838468,-7.39E-14,0
231,369.444,373.356,376.373,302.06,0.08543,0.0838468,-7.39E-14,0
235,369.444,372.949,376.373,302.06,0.08543,0.0838451,-8.37E-14,0
235,369.444,372.949,376.373,302.06,0.08543,0.0838451,-8.37E-14,0
236,369.444,372.842,376.373,302.06,0.08543,0.0838448,-8.62E-14,0
236,369.444,372.842,376.373,302.06,0.08543,0.0838448,-8.62E-14,0
240,369.444,372.391,376.373,302.06,0.08543,0.0838446,-9.62E-14,0
240,369.444,372.391,376.373,302.06,0.08543,0.0838446,-9.62E-14,0
241,369.444,372.273,376.373,302.06,0.08543,0.0838446,-9.87E-14,0
241,369.444,372.273,376.373,302.06,0.08543,0.0838446,-9.87E-14,0
245,369.444,371.775,376.373,302.06,0.08543,0.0838464,-1.09E-13,0
245,369.444,371.775,376.373,302.06,0.08543,0.0838464,-1.09E-13,0
246,369.444,371.644,376.373,302.06,0.08543,0.083847,-1.11E-13,0
246,369.444,371.644,376.373,302.06,0.08543,0.083847,-1.11E-13,0
250,369.444,371.098,376.373,302.06,0.08543,0.0838504,-1.22E-13,0
250,369.444,371.098,376.373,302.06,0.08543,0.0838504,-1.22E-13,0
251,369.444,370.956,376.373,302.06,0.08543,0.0838508,-1.24E-13,0
251,369.444,370.956,376.373,302.06,0.08543,0.0838508,-1.24E-13,0
255,369.444,370.359,376.373,302.06,0.08543,0.0838548,-1.35E-13,0
