time,T_gasIn.T,T_gasOut.T,T_waterIn.T,T_waterOut.T
106,0.606862,0.606862,0.606862,0.606862
106.2,0.606862,0.606862,0.606862,0.606862
106.2,0.606862,0.606862,0.606862,0.606862
107,0.606862,0.606862,0.606862,0.606862
107,0.606862,0.606862,0.606862,0.606862
107.2,0.606862,0.606862,0.606862,0.606862
107.2,0.606862,0.606862,0.606862,0.606862
108,0.606862,0.606862,0.606862,0.606862
108,0.606862,0.606862,0.606862,0.606862
108.2,0.606862,0.606862,0.606862,0.606862
108.2,0.606862,0.606862,0.606862,0.606862
109,0.606862,0.606862,0.606862,0.606862
109,0.606862,0.606862,0.606862,0.606862
109.2,0.606862,0.606862,0.606862,0.606862
109.2,0.606862,0.606862,0.606862,0.606862
110,0.606862,0.606862,0.606862,0.606862
110,0.606862,0.606862,0.606862,0.606862
110.2,0.606862,0.606862,0.606862,0.606862
110.2,0.606862,0.606862,0.606862,0.606862
111,0.606862,0.606862,0.606862,0.606862
111,0.606862,0.606862,0.606862,0.606862
111.2,0.606862,0.606862,0.606862,0.606862
111.2,0.606862,0.606862,0.606862,0.606862
112,0.606862,0.606862,0.606862,0.606862
112,0.606862,0.606862,0.606862,0.606862
112.2,0.606862,0.606862,0.606862,0.606862
112.2,0.606862,0.606862,0.606862,0.606862
113,0.606862,0.606862,0.606862,0.606862
113,0.606862,0.606862,0.606862,0.606862
113.2,0.606862,0.606862,0.606862,0.606862
113.2,0.606862,0.606862,0.606862,0.606862
114,0.606862,0.606862,0.606862,0.606862
114,0.606862,0.606862,0.606862,0.606862
114.2,0.606862,0.606862,0.606862,0.606862
114.2,0.606862,0.606862,0.606862,0.606862
115,0.606862,0.606862,0.606862,0.606862
115,0.606862,0.606862,0.606862,0.606862
115.2,0.606862,0.606862,0.606862,0.606862
115.2,0.606862,0.606862,0.606862,0.606862
116,0.606862,0.606862,0.606862,0.606862
116,0.606862,0.606862,0.606862,0.606862
116.2,0.606862,0.606862,0.606862,0.606862
116.2,0.606862,0.606862,0.606862,0.606862
117,0.606862,0.606862,0.606862,0.606862
117,0.606862,0.606862,0.606862,0.606862
117.2,0.606862,0.606862,0.606862,0.606862
117.2,0.606862,0.606862,0.606862,0.606862
118,0.606862,0.606862,0.606862,0.606862
118,0.606862,0.606862,0.606862,0.606862
118.2,0.606862,0.606862,0.606862,0.606862
118.2,0.606862,0.606862,0.606862,0.606862
119,0.606862,0.606862,0.606862,0.606862
119,0.606862,0.606862,0.606862,0.606862
119.2,0.606862,0.606862,0.606862,0.606862
119.2,0.606862,0.606862,0.606862,0.606862
120,0.606862,0.606862,0.606862,0.606862
120,0.606862,0.606862,0.606862,0.606862
120.2,0.606862,0.606862,0.606862,0.606862
120.2,0.606862,0.606862,0.606862,0.606862
121,0.606862,0.606862,0.606862,0.606862
121,0.606862,0.606862,0.606862,0.606862
121.2,0.606862,0.606862,0.606862,0.606862
121.2,0.606862,0.606862,0.606862,0.606862
122,0.606862,0.606862,0.606862,0.606862
122,0.606862,0.606862,0.606862,0.606862
122.2,0.606862,0.606862,0.606862,0.606862
122.2,0.606862,0.606862,0.606862,0.606862
123,0.606862,0.606862,0.606862,0.606862
123,0.606862,0.606862,0.606862,0.606862
123.2,0.606862,0.606862,0.606862,0.606862
123.2,0.606862,0.606862,0.606862,0.606862
124,0.606862,0.606862,0.606862,0.606862
124,0.606862,0.606862,0.606862,0.606862
124.2,0.606862,0.606862,0.606862,0.606862
124.2,0.606862,0.606862,0.606862,0.606862
125,0.606862,0.606862,0.606862,0.606862
125,0.606862,0.606862,0.606862,0.606862
125.2,0.606862,0.606862,0.606862,0.606862
125.2,0.606862,0.606862,0.606862,0.606862
126,0.606862,0.606862,0.606862,0.606862
126,0.606862,0.606862,0.606862,0.606862
126.2,0.606862,0.606862,0.606862,0.606862
126.2,0.606862,0.606862,0.606862,0.606862
127,0.606862,0.606862,0.606862,0.606862
127,0.606862,0.606862,0.606862,0.606862
127.2,0.606862,0.606862,0.606862,0.606862
127.2,0.606862,0.606862,0.606862,0.606862
128,0.606862,0.606862,0.606862,0.606862
128,0.606862,0.606862,0.606862,0.606862
128.2,0.606862,0.606862,0.606862,0.606862
128.2,0.606862,0.606862,0.606862,0.606862
129,0.606862,0.606862,0.606862,0.606862
129,0.606862,0.606862,0.606862,0.606862
129.2,0.606862,0.606862,0.606862,0.606862
129.2,0.606862,0.606862,0.606862,0.606862
130,0.606862,0.606862,0.606862,0.606862
