time,T_gasIn.T,T_waterOut.T,T_gasOut.T,T_waterIn.T,T_gasIn.inlet.m_flow,T_waterIn.inlet.m_flow
466,376.373,302.06,370.344,302.06,0,0.08543
470,376.373,302.06,370.344,302.06,0,0.08543
470,376.373,302.06,370.344,302.06,0,0.08543
471,376.373,302.06,370.344,302.06,0,0.08543
471,376.373,302.06,370.344,302.06,0,0.08543
475,376.373,302.06,370.344,302.06,0,0.08543
475,376.373,302.06,370.344,302.06,0,0.08543
476,376.373,302.06,370.344,302.06,0,0.08543
476,376.373,302.06,370.344,302.06,0,0.08543
480,376.373,302.06,370.344,302.06,0,0.08543
480,376.373,302.06,370.344,302.06,0,0.08543
480,376.373,302.06,370.344,302.06,0,0.08543
480,376.373,302.06,370.344,302.06,1.21894,0.08543
480,376.373,302.06,370.337,302.06,1.21894,0.08543
480,376.373,302.06,370.337,302.06,1.21894,0.08543
480,376.373,302.06,370.337,302.06,1.21894,0.08543
480,376.373,302.06,370.337,302.06,1.21894,0.08543
480,376.373,302.06,370.337,302.06,1.21894,0.08543
480,376.373,302.06,370.337,302.06,1.21894,0.08543
480,376.373,302.06,370.337,302.06,1.21894,0.08543
480,376.373,302.06,370.337,302.06,1.21894,0.08543
480,376.373,302.06,370.337,302.06,1.21894,0.08543
480,376.373,302.06,370.337,302.06,1.21894,0.08543
480,376.373,302.06,370.337,302.06,1.21894,0.08543
480,376.373,302.06,370.337,302.06,1.21894,0.08543
480,376.373,302.06,370.337,302.06,1.21894,0.08543
480,376.373,302.06,370.337,302.06,1.21894,0.08543
480,376.373,302.06,370.337,302.06,1.21894,0.08543
480,376.373,302.06,370.337,302.06,1.21894,0.08543
480,376.373,302.06,370.336,302.06,1.21894,0.08543
480,376.373,302.06,370.336,302.06,1.21894,0.08543
480,376.373,302.06,370.336,302.06,1.21894,0.08543
480,376.373,302.06,370.336,302.06,1.21894,0.08543
481,376.373,335.352,366.8,302.06,1.21894,0.08543
481,376.373,335.352,366.8,302.06,1.21894,0.08543
485,376.373,359.24,370.31,302.06,1.21894,0.08543
485,376.373,359.24,370.31,302.06,1.21894,0.08543
486,376.373,359.436,370.33,302.06,1.21894,0.08543
486,376.373,359.436,370.33,302.06,1.21894,0.08543
490,376.373,359.585,370.345,302.06,1.21894,0.08543
490,376.373,359.585,370.345,302.06,1.21894,0.08543
491,376.373,359.576,370.344,302.06,1.21894,0.08543
491,376.373,359.576,370.344,302.06,1.21894,0.08543
495,376.373,359.571,370.344,302.06,1.21894,0.08543
495,376.373,359.571,370.344,302.06,1.21894,0.08543
496,376.373,359.571,370.344,302.06,1.21894,0.08543
496,376.373,359.571,370.344,302.06,1.21894,0.08543
500,376.373,359.571,370.344,302.06,1.21894,0.08543
500,376.373,359.571,370.344,302.06,1.21894,0.08543
501,376.373,359.571,370.344,302.06,1.21894,0.08543
501,376.373,359.571,370.344,302.06,1.21894,0.08543
501.596,376.373,359.571,370.344,302.06,1.21894,0.08543
501.596,376.373,359.571,370.344,302.06,1.21894,0.08543
505,376.373,359.571,370.344,302.06,1.21894,0.08543
505,376.373,359.571,370.344,302.06,1.21894,0.08543
506,376.373,359.571,370.344,302.06,1.21894,0.08543
506,376.373,359.571,370.344,302.06,1.21894,0.08543
510,376.373,359.571,370.344,302.06,1.21894,0.08543
510,376.373,359.571,370.344,302.06,1.21894,0.08543
511,376.373,359.571,370.344,302.06,1.21894,0.08543
511,376.373,359.571,370.344,302.06,1.21894,0.08543
515,376.373,359.571,370.344,302.06,1.21894,0.08543
515,376.373,359.571,370.344,302.06,1.21894,0.08543
516,376.373,359.571,370.344,302.06,1.21894,0.08543
516,376.373,359.571,370.344,302.06,1.21894,0.08543
520,376.373,359.571,370.344,302.06,1.21894,0.08543
520,376.373,359.571,370.344,302.06,1.21894,0.08543
521,376.373,359.571,370.344,302.06,1.21894,0.08543
521,376.373,359.571,370.344,302.06,1.21894,0.08543
525,376.373,359.571,370.344,302.06,1.21894,0.08543
525,376.373,359.571,370.344,302.06,1.21894,0.08543
526,376.373,359.571,370.344,302.06,1.21894,0.08543
526,376.373,359.571,370.344,302.06,1.21894,0.08543
530,376.373,359.571,370.344,302.06,1.21894,0.08543
530,376.373,359.571,370.344,302.06,1.21894,0.08543
531,376.373,359.571,370.344,302.06,1.21894,0.08543
531,376.373,359.571,370.344,302.06,1.21894,0.08543
