time,T_gasIn.T,T_gasOut.T,T_waterOut.T,T_waterIn.T,T_gasIn.inlet.m_flow,T_waterIn.inlet.m_flow
546,376.373,369.321,375.747,302.06,1.21894,0.08543
550,376.373,369.339,375.748,302.06,1.21894,0.08543
550,376.373,369.339,375.748,302.06,1.21894,0.08543
551,376.373,369.342,375.748,302.06,1.21894,0.08543
551,376.373,369.342,375.748,302.06,1.21894,0.08543
555,376.373,369.35,375.749,302.06,1.21894,0.08543
555,376.373,369.35,375.749,302.06,1.21894,0.08543
556,376.373,369.351,375.749,302.06,1.21894,0.08543
556,376.373,369.351,375.749,302.06,1.21894,0.08543
560,376.373,369.355,375.749,302.06,1.21894,0.08543
560,376.373,369.355,375.749,302.06,1.21894,0.08543
561,376.373,369.356,375.749,302.06,1.21894,0.08543
561,376.373,369.356,375.749,302.06,1.21894,0.08543
565,376.373,369.357,375.749,302.06,1.21894,0.08543
565,376.373,369.357,375.749,302.06,1.21894,0.08543
566,376.373,369.357,375.749,302.06,1.21894,0.08543
566,376.373,369.357,375.749,302.06,1.21894,0.08543
570,376.373,369.358,375.749,302.06,1.21894,0.08543
570,376.373,369.358,375.749,302.06,1.21894,0.08543
571,376.373,369.358,375.749,302.06,1.21894,0.08543
571,376.373,369.358,375.749,302.06,1.21894,0.08543
575,376.373,369.358,375.749,302.06,1.21894,0.08543
575,376.373,369.358,375.749,302.06,1.21894,0.08543
576,376.373,369.358,375.749,302.06,1.21894,0.08543
576,376.373,369.358,375.749,302.06,1.21894,0.08543
580,376.373,369.359,375.749,302.06,1.21894,0.08543
580,376.373,369.359,375.749,302.06,1.21894,0.08543
581,376.373,369.359,375.749,302.06,1.21894,0.08543
581,376.373,369.359,375.749,302.06,1.21894,0.08543
585,376.373,369.359,375.749,302.06,1.21894,0.08543
585,376.373,369.359,375.749,302.06,1.21894,0.08543
586,376.373,369.359,375.749,302.06,1.21894,0.08543
586,376.373,369.359,375.749,302.06,1.21894,0.08543
590,376.373,369.359,375.749,302.06,1.21894,0.08543
590,376.373,369.359,375.749,302.06,1.21894,0.08543
591,376.373,369.359,375.749,302.06,1.21894,0.08543
591,376.373,369.359,375.749,302.06,1.21894,0.08543
595,376.373,369.359,375.749,302.06,1.21894,0.08543
595,376.373,369.359,375.749,302.06,1.21894,0.08543
596,376.373,369.359,375.749,302.06,1.21894,0.08543
596,376.373,369.359,375.749,302.06,1.21894,0.08543
600,376.373,369.359,375.749,302.06,1.21894,0.08543
600,376.373,369.359,375.749,302.06,1.21894,0.08543
600,376.373,369.359,375.749,302.06,1.21894,0.08543
