time_t,RecupHP_out_T,RecupHP_out_P,Turbine_in_T,Turbine_in_P,Cycle_Mdot,HotOil_Evap_in_T,HotOil_Evap_out_T,HotOil_Mdot
64.5,28.788265,12.69643,100.82704,12.711983,0.086367,104.631001,97.595764,1.215518
65,28.783242,12.69858,100.851004,12.700414,0.086294,104.636118,97.60971,1.215987
65.5,28.783242,12.69858,100.851004,12.706199,0.086328,104.636118,97.60971,1.215594
66,28.791318,12.698885,100.872135,12.706199,0.086324,104.631887,97.596602,1.214433
66.5,28.791318,12.698885,100.872135,12.711983,0.086376,104.631887,97.596602,1.214655
67,28.777974,12.701495,100.877853,12.706199,0.086438,104.640153,97.608725,1.214772
67.5,28.779992,12.702135,100.897094,12.706199,0.086409,104.632379,97.611238,1.215737
68,28.779992,12.702135,100.897094,12.711983,0.086398,104.632379,97.611238,1.214934
68.5,28.772607,12.704384,100.909623,12.711983,0.086361,104.626573,97.613406,1.213478
69,28.772607,12.704384,100.909623,12.711983,0.086368,104.626573,97.613406,1.213239
69.5,28.768421,12.706072,100.920661,12.711983,0.086313,104.629378,97.619369,1.214023
70,28.774231,12.707795,100.95268,12.711983,0.086345,104.622736,97.626909,1.213443
70.5,28.774231,12.707795,100.95268,12.711983,0.086437,104.622736,97.626909,1.21369
71,28.767633,12.709539,100.958149,12.711983,0.086416,104.611321,97.619369,1.212513
71.5,28.767633,12.709539,100.958149,12.711983,0.086419,104.611321,97.619369,1.212201
72,28.769701,12.709998,100.97038,12.717768,0.086489,104.616586,97.634153,1.2123
72.5,28.768815,12.711925,100.997676,12.717768,0.086485,104.602515,97.61932,1.212913
73,28.768815,12.711925,100.997676,12.717768,0.086496,104.602515,97.61932,1.213769
73.5,28.761626,12.713032,101.010504,12.717768,0.086366,104.599267,97.621685,1.213548
74,28.761626,12.713032,101.010504,12.717768,0.086415,104.599267,97.621685,1.212639
74.5,28.770982,12.713793,101.015426,12.717768,0.086419,104.599858,97.6309,1.214236
75,28.770982,12.713793,101.015426,12.717768,0.08652,104.599858,97.6309,1.211997
75.5,28.762562,12.715464,101.036109,12.723553,0.08649,104.593806,97.632477,1.211752
76,28.757884,12.717001,101.047197,12.723553,0.086458,104.595184,97.631393,1.211505
76.5,28.757884,12.717001,101.047197,12.723553,0.086519,104.595184,97.631393,1.212545
77,28.760494,12.718557,101.057489,12.723553,0.086464,104.582441,97.630358,1.211941
77.5,28.760494,12.718557,101.057489,12.723553,0.086421,104.582441,97.630358,1.212799
78,28.752714,12.720635,101.063753,12.729337,0.08651,104.584704,97.626564,1.212582
78.5,28.76074,12.72164,101.069372,12.729337,0.086535,104.572601,97.631689,1.213122
79,28.76074,12.72164,101.069372,12.729337,0.086599,104.572601,97.631689,1.212377
79.5,28.760641,12.723005,101.098656,12.729337,0.086578,104.559071,97.615525,1.213263
80,28.760641,12.723005,101.098656,12.729337,0.086459,104.559071,97.615525,1.213913
80.5,28.756111,12.724348,101.107904,12.729337,0.086452,104.567091,97.619468,1.214758
81,28.757392,12.726525,101.118842,12.729337,0.086475,104.550264,97.626564,1.211959
81.5,28.757392,12.726525,101.118842,12.735122,0.086519,104.550264,97.626564,1.212402
82,28.752517,12.726843,101.13694,12.735122,0.086505,104.548641,97.618137,1.211419
82.5,28.752517,12.726843,101.13694,12.735122,0.086559,104.548641,97.618137,1.211606
